"SubjID","emotion","rating","condition"
7,"DISAPPOINTED ",42.23910172,"Unpleasant-Pleasant"
7,"RELAXED ",78.07133421,"Unpleasant-Pleasant"
7,"GRUMPY ",42.40422721,"Unpleasant-Pleasant"
7,"JEALOUS ",37.28533686,"Unpleasant-Pleasant"
7,"SURPRISED ",72.62219287,"Unpleasant-Pleasant"
7,"ANNOYED ",31.67107001,"Unpleasant-Pleasant"
7,"WORRIED ",47.52311757,"Unpleasant-Pleasant"
7,"DISGUSTED ",20.60766182,"Unpleasant-Pleasant"
7,"AMAZED ",82.85997358,"Unpleasant-Pleasant"
7,"SCARED ",34.47820343,"Unpleasant-Pleasant"
7,"HAPPY ",79.72258917,"Unpleasant-Pleasant"
7,"THANKFUL ",66.67767503,"Unpleasant-Pleasant"
7,"UPSET ",34.31307794,"Unpleasant-Pleasant"
8,"LONELY ",12.6659292,"Negative-Positive"
8,"EMBARRASSED ",5.613938053,"Negative-Positive"
8,"LOVE ",95.21570796,"Negative-Positive"
8,"UPSET ",26.07853982,"Negative-Positive"
8,"THANKFUL ",83.46238938,"Negative-Positive"
8,"CALM ",83.04756637,"Negative-Positive"
8,"SAD ",18.05862832,"Negative-Positive"
8,"ANGRY ",9.900442478,"Negative-Positive"
8,"SAFE ",91.34402655,"Negative-Positive"
8,"DISGUSTED ",11.1449115,"Negative-Positive"
8,"JEALOUS ",24.69579646,"Negative-Positive"
8,"SORRY ",29.39712389,"Negative-Positive"
8,"PLEASED ",77.51659292,"Negative-Positive"
8,"DISAPPOINTED ",25.38716814,"Negative-Positive"
8,"EXCITED ",94.52433628,"Negative-Positive"
8,"HAPPY ",100,"Negative-Positive"
8,"RELAXED ",93.00331858,"Negative-Positive"
8,"SCARED ",8.241150442,"Negative-Positive"
8,"GRUMPY ",34.23672566,"Negative-Positive"
8,"WORRIED ",39.21460177,"Negative-Positive"
8,"NERVOUS ",36.31084071,"Negative-Positive"
8,"PROUD ",97.70464602,"Negative-Positive"
8,"BORED ",39.21460177,"Negative-Positive"
8,"ANNOYED ",24.8340708,"Negative-Positive"
8,"HATE ",4.369469027,"Negative-Positive"
8,"AMAZED ",97.42809735,"Negative-Positive"
